row column Ainv
332 173 -1.01977748385591
332 332 2.03955496771182
333 154 -1.01977748385591
333 173 -1.01977748385591
333 333 2.03955496771182
334 163 -1.02818503439782
334 189 -1.02818503439782
334 334 2.05637006879564
335 96 -1.02082586956183
335 214 -1.02082586956183
335 335 2.04165173912366
336 171 -1.05867149134143
336 190 -1.05867149134143
336 336 2.11734298268286
337 120 -1.03527478950445
337 214 -1.03527478950445
337 337 2.07054957900889
338 120 -1.03961039991117
338 215 -1.03961039991117
338 338 2.07922079982233
339 96 -1.01386138613861
339 133 -1.01386138613861
339 339 2.02772277227723
340 133 -1.08611203181969
340 191 -1.08611203181969
340 340 2.17222406363938
341 133 -1.08611203181969
341 191 -1.08611203181969
341 341 2.17222406363938
342 160 -1.0197298811228
342 178 -1.0197298811228
342 342 2.0394597622456
343 160 -1.0197298811228
343 178 -1.0197298811228
343 343 2.0394597622456
344 142 -1
344 192 -1
344 344 2
345 177 -1.03789810430293
345 193 -1.03789810430293
345 345 2.07579620860586
346 194 -1.04021268997262
346 217 -1.04021268997262
346 346 2.08042537994524
347 82 -1
347 98 -1
347 178 0.509611197511664
347 347 2.50961119751166
348 150 -1.12919121954581
348 218 -1.12919121954581
348 348 2.25838243909163
349 100 -1
349 119 -1
349 349 2
350 161 -1.22597451186718
350 219 -1.22597451186718
350 350 2.45194902373436
351 161 -1.26249277595839
351 220 -1.26249277595839
351 351 2.52498555191678
352 196 -1.08234516928159
352 221 -1.08234516928159
352 352 2.16469033856317
353 148 -1.10096428451433
353 221 -1.10096428451433
353 353 2.20192856902866
354 148 -1.10096428451433
354 221 -1.10096428451433
354 354 2.20192856902866
355 156 -1.03197360858508
355 222 -1.03197360858508
355 355 2.06394721717017
356 156 -1.03197360858508
356 222 -1.03197360858508
356 356 2.06394721717017
357 157 -1.08632807319984
357 225 -1.08632807319984
357 357 2.17265614639968
358 198 -1
358 226 -1
358 358 2
359 143 -1.05271950396762
359 207 -1.05271950396762
359 359 2.10543900793523
360 143 -1.0106094251172
360 168 -1.0106094251172
360 360 2.02121885023439
361 106 -1
361 153 -1
361 361 2
362 166 -1.00324536158227
362 184 -1.00324536158227
362 362 2.00649072316453
363 182 -1.07339284251904
363 209 -1.07339284251904
363 363 2.14678568503808
364 184 -1.00324536158227
364 210 -1.00324536158227
364 364 2.00649072316453
365 184 -1.00324536158227
365 210 -1.00324536158227
365 365 2.00649072316453
366 152 -1.02693639625805
366 211 -1.02693639625805
366 366 2.0538727925161
367 110 -1.00324536158227
367 174 -1.00324536158227
367 367 2.00649072316453
368 138 -1.08023999472539
368 183 -1.08023999472539
368 368 2.16047998945078
369 187 -1.23393238752436
369 213 -1.23393238752436
369 369 2.46786477504872
