femLRS maleLRS jSurv sex f_coeff immGG DFEs id cohort socdam socsire brood pair
NA NA 1 Female 0.148245573043823 0.610137939453125 -1.09451275626219 1834 2005 1455 1562 129 92
7 NA NA Female 0.148245573043823 0.610137939453125 0 1834 2005 1455 1562 NA NA
NA NA 1 Female 0.111704662442207 0.526008605957031 -1.05319984089236 1962 2005 1316 1909 130 101
36 NA NA Female 0.111704662442207 0.526008605957031 0 1962 2005 1316 1909 NA NA
NA NA 1 Female 0.0446923784911633 0.565547943115234 -1.05319984089236 2065 2005 1316 1909 130 101
16 NA NA Female 0.0446923784911633 0.565547943115234 0 2065 2005 1316 1909 NA NA
NA NA 1 Female 0 0.724956512451172 -1.01188692552253 2066 2005 46 1937 131 102
42 NA NA Female 0 0.724956512451172 0 2066 2005 46 1937 NA NA
NA NA 1 Female 0.0350514501333237 0.599395751953125 -0.929261094782876 1832 2005 1502 1557 132 91
3 NA NA Female 0.0350514501333237 0.599395751953125 0 1832 2005 1502 1557 NA NA
NA NA 1 Female 0.0350514501333237 0.599395751953125 -0.929261094782876 1872 2005 1502 1557 132 91
0 NA NA Female 0.0350514501333237 0.599395751953125 0 1872 2005 1502 1557 NA NA
NA NA 1 Female 0.0663012936711311 0.515007019042969 -0.805322348673391 1964 2005 1731 1786 133 103
33 NA NA Female 0.0663012936711311 0.515007019042969 0 1964 2005 1731 1786 NA NA
NA NA 1 Female 0.0451484471559525 0.721755981445312 -0.805322348673391 1966 2005 1791 1359 134 104
17 NA NA Female 0.0451484471559525 0.721755981445312 0 1966 2005 1791 1359 NA NA
NA NA 1 Female 0.0446923784911633 0.565547943115234 1.7973913196258 2067 2005 1316 1909 135 101
4 NA NA Female 0.0446923784911633 0.565547943115234 0 2067 2005 1316 1909 NA NA
NA NA 1 Female 0.0235463529825211 0.638839721679688 1.7973913196258 1831 2005 1643 1382 136 98
3 NA NA Female 0.0235463529825211 0.638839721679688 0 1831 2005 1643 1382 NA NA
NA NA 1 Female 0 0.794906616210938 2.00395589647494 1958 2005 47 1728 137 100
45 NA NA Female 0 0.794906616210938 0 1958 2005 47 1728 NA NA
NA NA 1 Female 0.111704662442207 0.526008605957031 -1.05319984089236 1963 2005 1316 1909 130 101
2 NA NA Female 0.111704662442207 0.526008605957031 0 1963 2005 1316 1909 NA NA
