row column Ainv
297 238 -1.00324536158227
297 251 0.515986804292542
297 286 1.55442233343611
297 297 5.69294457567208
298 36 -1.00324536158227
298 39 0.5
298 243 -1.00324536158227
298 298 9.80883326975303
299 41 1.51770454598087
299 147 -1.00324536158227
299 243 -1.00324536158227
299 299 7.19212421757375
300 41 1.0054000981836
300 42 0.502700049091802
300 101 -1.02082586956183
300 237 3.53228513790289
300 238 3.02604198731761
300 251 -1.02082586956183
300 300 10.1080790116196
301 231 -1.02693639625805
301 242 1.0489955982393
301 249 -1.02693639625805
301 274 6.28040249161476
301 301 10.4460240090805
302 207 -1.26801331166318
302 225 -1.26801331166318
302 228 1.12833580110878
302 274 0.572136958077977
302 275 0.60043794149175
302 302 4.83693732400487
303 136 2.5285706569129
303 228 -1.0081220772828
303 236 -1.0081220772828
303 303 4.54481481147849
304 162 -1.12919121954581
304 229 -1.12919121954581
304 276 1.06291687447035
304 304 3.32129931356198
305 125 -1.01922239502333
305 131 1.02619670231589
305 144 0.513098351157947
305 223 -1.01922239502333
305 305 4.63480620049976
306 123 -1.03527478950445
306 138 1.22728890054121
306 206 6.33820661196989
306 251 -1.03527478950445
306 265 1.08177346406523
306 282 0.534076555101908
306 306 11.8181689156849
307 127 -1.01775037659373
307 206 2.07763881623789
307 231 -1.01775037659373
307 307 4.11313956942535
308 113 -1.10096428451433
308 247 2.15175493318449
308 253 -1.10096428451433
308 308 4.35368350221315
309 124 -1.01386138613861
309 145 2.04165173912366
309 222 -1.01386138613861
309 309 4.06937451140089
310 125 -1.01922239502333
310 145 1.53929505347384
310 160 3.66374367083553
310 223 -1.01922239502333
310 271 0.524069986885456
310 310 15.1123614650536
311 114 -1.01977748385591
311 146 1.02621277128809
311 237 -1.01977748385591
311 248 0.517384027536552
311 311 3.58315176653646
312 228 -1.0081220772828
312 236 -1.0081220772828
312 312 2.01624415456559
313 228 -1.0081220772828
313 236 -1.0081220772828
313 313 2.01624415456559
314 139 -1.00324536158227
314 243 -1.00324536158227
314 314 2.00649072316453
315 147 -1.00324536158227
315 243 -1.00324536158227
315 315 2.00649072316453
316 244 -1.067535429223
316 249 -1.067535429223
316 316 2.135070858446
317 231 -1.02693639625805
317 249 -1.02693639625805
317 317 2.0538727925161
318 244 -1.067535429223
318 249 -1.067535429223
318 318 2.135070858446
319 156 -1.01522779731384
319 231 -1.01522779731384
319 319 2.03045559462767
320 222 -1.00324536158227
320 238 -1.00324536158227
320 320 2.00649072316453
321 124 -1.01386138613861
321 222 -1.01386138613861
321 321 2.02772277227723
322 125 -1.01922239502333
322 223 -1.01922239502333
322 322 2.03844479004666
323 222 -1.00378317940235
323 237 -1.00378317940235
323 323 2.0075663588047
324 114 -1.01977748385591
324 237 -1.01977748385591
324 324 2.03955496771182
325 101 -1.02082586956183
325 251 -1.02082586956183
325 325 2.04165173912366
326 123 -1.09643311249414
326 235 -1.09643311249414
326 326 2.19286622498829
327 123 -1.09643311249414
327 235 -1.09643311249414
327 327 2.19286622498829
328 219 -1.0197298811228
328 241 -1.0197298811228
328 328 2.0394597622456
329 219 -1.0197298811228
329 241 -1.0197298811228
329 329 2.0394597622456
330 162 -1.12919121954581
330 229 -1.12919121954581
330 330 2.25838243909163
331 138 -1.26249277595839
331 252 -1.26249277595839
331 331 2.52498555191678
332 159 -1.09186631568425
332 252 -1.09186631568425
332 332 2.1837326313685
333 145 -1.08234516928159
333 253 -1.08234516928159
333 333 2.16469033856317
334 113 -1.10096428451433
334 253 -1.10096428451433
334 334 2.20192856902866
335 113 -1.10096428451433
335 253 -1.10096428451433
335 335 2.20192856902866
336 228 -1.0081220772828
336 236 -1.0081220772828
336 336 2.01624415456559
337 228 -1.0081220772828
337 236 -1.0081220772828
337 337 2.01624415456559
338 139 -1.00324536158227
338 243 -1.00324536158227
338 338 2.00649072316453
339 147 -1.00324536158227
339 243 -1.00324536158227
339 339 2.00649072316453
340 231 -1.02693639625805
340 249 -1.02693639625805
340 340 2.0538727925161
341 231 -1.02693639625805
341 249 -1.02693639625805
341 341 2.0538727925161
342 156 -1.01135802469136
342 222 -1.01135802469136
342 342 2.02271604938272
343 222 -1.00324536158227
343 238 -1.00324536158227
343 343 2.00649072316453
344 114 -1.01977748385591
344 237 -1.01977748385591
344 344 2.03955496771182
345 114 -1.01977748385591
345 237 -1.01977748385591
345 345 2.03955496771182
346 101 -1.02082586956183
346 251 -1.02082586956183
346 346 2.04165173912366
347 123 -1.03527478950445
347 251 -1.03527478950445
347 347 2.07054957900889
348 219 -1.0197298811228
348 241 -1.0197298811228
348 348 2.0394597622456
349 219 -1.0197298811228
349 241 -1.0197298811228
349 349 2.0394597622456
350 162 -1.12919121954581
350 229 -1.12919121954581
350 350 2.25838243909163
351 138 -1.26249277595839
351 252 -1.26249277595839
351 351 2.52498555191678
352 145 -1.08234516928159
352 253 -1.08234516928159
352 352 2.16469033856317
353 113 -1.10096428451433
353 253 -1.10096428451433
353 353 2.20192856902866
354 113 -1.10096428451433
354 253 -1.10096428451433
354 354 2.20192856902866
355 152 -1.0106094251172
355 236 -1.0106094251172
355 355 2.02121885023439
356 139 -1.00324536158227
356 243 -1.00324536158227
356 356 2.00649072316453
357 147 -1.00324536158227
357 243 -1.00324536158227
357 357 2.00649072316453
358 147 -1.00324536158227
358 243 -1.00324536158227
358 358 2.00649072316453
359 231 -1.02693639625805
359 249 -1.02693639625805
359 359 2.0538727925161
360 222 -1.00324536158227
360 238 -1.00324536158227
360 360 2.00649072316453
361 142 -1.08023999472539
361 225 -1.08023999472539
361 361 2.16047998945078
362 114 -1.01977748385591
362 237 -1.01977748385591
362 362 2.03955496771182
363 123 -1.03527478950445
363 251 -1.03527478950445
363 363 2.07054957900889
364 219 -1.0197298811228
364 241 -1.0197298811228
364 364 2.0394597622456
365 219 -1.0197298811228
365 241 -1.0197298811228
365 365 2.0394597622456
366 162 -1.12919121954581
366 229 -1.12919121954581
366 366 2.25838243909163
367 138 -1.26249277595839
367 252 -1.26249277595839
367 367 2.52498555191678
368 113 -1.10096428451433
368 253 -1.10096428451433
368 368 2.20192856902866
369 228 -1.0081220772828
369 236 -1.0081220772828
369 369 2.01624415456559
370 139 -1.00324536158227
370 243 -1.00324536158227
370 370 2.00649072316453
371 231 -1.02693639625805
371 249 -1.02693639625805
371 371 2.0538727925161
372 142 -1.08023999472539
372 225 -1.08023999472539
372 372 2.16047998945078
373 114 -1.01977748385591
373 237 -1.01977748385591
373 373 2.03955496771182
374 101 -1.02082586956183
374 251 -1.02082586956183
374 374 2.04165173912366
375 219 -1.0197298811228
375 241 -1.0197298811228
375 375 2.0394597622456
376 162 -1.12919121954581
376 229 -1.12919121954581
376 376 2.25838243909163
377 138 -1.26249277595839
377 252 -1.26249277595839
377 377 2.52498555191678
378 102 1.01569195719389
378 148 -1.01417517796348
378 226 -1.01417517796348
378 378 5.6832689621485
379 158 -1.06239564251787
379 251 -1.06239564251787
379 379 6.28291956896556
380 159 -1.09186631568425
380 252 -1.09186631568425
380 301 1.06275312671032
380 380 4.85626522071601
381 145 4.04721212261566
381 147 -1.00324536158227
381 243 -1.00324536158227
381 247 3.57041568407699
381 381 13.8013273858999
382 127 -1.01386138613861
382 224 -1.01386138613861
382 228 0.514645600037694
382 295 4.13251464108647
382 382 12.3728760710323
383 147 -1
383 159 1.01859666301417
383 224 -1
383 383 5.17813335909042
384 102 -1.14677679008889
384 246 -1.14677679008889
384 379 4.15812828392981
384 384 7.46931865282036
385 228 -1.0081220772828
385 236 -1.0081220772828
385 385 2.01624415456559
386 147 -1
386 224 -1
386 386 2
387 147 -1
387 224 -1
387 387 2
388 244 -1.067535429223
388 249 -1.067535429223
388 388 2.135070858446
389 143 -1.03434343434343
